"","anthesis","TAir","TPan"
"155",15.4,28.9572569011437,27.6389152837219
"156",15.5,28.8962882045203,27.6092358625384
"157",15.6,28.8323822945759,27.5782032950769
"158",15.7,28.7655672025549,27.545842351577
"159",15.8,28.6958722357648,27.5121788728969
"160",15.9,28.6233279647215,27.4772397505768
"161",16,28.5479662097399,27.4410529059186
"162",16.1,28.4698200269765,27.4036472680761
"163",16.2,28.3889236939298,27.3650527511498
"164",16.3,28.305312694405,27.3253002302813
"165",16.4,28.2190237029501,27.2844215167425
"166",16.5,28.1300945687684,27.242449332014
"167",16.6,28.0385642991174,27.19941728085
"168",16.7,27.9444730421984,27.155359823324
"169",16.8,27.8478620695465,27.1103122458545
"170",16.9,27.7487737579274,27.0643106312071
"171",17,27.6472515707493,27.017391827472
"172",17.1,27.5433400389989,26.9695934160161
"173",17.2,27.4370847417084,26.9209536784105
"174",17.3,27.328532285963,26.8715115623351
"175",17.4,27.2177302864573,26.821306646463
"176",17.5,27.1047273446104,26.7703791043289
"177",17.6,26.9895730272475,26.7187696671874
"178",17.7,26.8723178448579,26.6665195858688
"179",17.8,26.75301322944,26.6136705916408
"180",17.9,26.6317115119412,26.5602648560876
"181",18,26.5084658993038,26.5063449500195
"182",18.1,26.39651583155,26.4576679512899
"183",18.2,26.2873298208175,26.4104712573818
"184",18.3,26.1808396222953,26.3647068794152
"185",18.4,26.0769786761427,26.3203284339355
"186",18.5,25.9756820658874,26.277291091185
"187",18.6,25.8768864778505,26.2355515247612
"188",18.7,25.7805301615735,26.1950678626447
"189",18.8,25.686552891222,26.1557996395805
"190",18.9,25.5948959279428,26.1177077507957
"191",19,25.5055019831502,26.080754407033
"192",19.1,25.4183151827187,26.0449030908811
"193",19.2,25.3332810320598,26.0101185143786
"194",19.3,25.2503463820612,25.9763665778723
"195",19.4,25.169459395867,25.9436143301038
"196",19.5,25.0905695164777,25.9118299295032
"197",19.6,25.0136274351506,25.8809826066637
"198",19.7,24.9385850605802,25.851042627975
"199",19.8,24.8653954888395,25.8219812603876
"200",19.9,24.7940129740638,25.7937707372851
"201",20,24.7243928998574,25.7663842254384
"202",20.1,24.6564917514079,25.7397957930144
"203",20.2,24.5902670882869,25.7139803786171
"204",20.3,24.5256775179243,25.6889137613313
"205",20.4,24.4626826697359,25.6645725317469
"206",20.5,24.4012431698911,25.6409340639349
"207",20.6,24.3413206167024,25.6179764883531
"208",20.7,24.2828775566235,25.595678665653
"209",20.8,24.2258774608392,25.5740201613653
"210",20.9,24.1702847024342,25.5529812214382
"211",21,24.1160645341248,25.532542748604
"212",21.1,24.0631830665408,25.5126862795508
"213",21.2,24.0116072470436,25.4933939628739
"214",21.3,23.9613048390669,25.4746485377858
"215",21.4,23.9122444019684,25.4564333135598
"216",21.5,23.8643952713778,25.438732149686
"217",21.6,23.8177275400308,25.4215294367164
"218",21.7,23.7722120390762,25.404810077779
"219",21.8,23.7278203198442,25.3885594707383
